apt_code,apt_name,si,gu,dong,연면적,관리비부과면적,total_home_num,일반인원,경비인원,청소인원,const_firm,const_complete,건축면적,아파트평형,층수,parking_num,아파트시설,전기안전관리방법,화재수신반유무,홈네트워크-주차관제시스템,예산지출액,경비실CCTV카메라수,경비실CCTV모니터수,택비방식,경비예산 지출액,경비근무형태,음식물처리방식,청소 연간예산 지출액,청소세대당청소인원,소독면적,소독 년 예산 지출액,엘리베이터 수,엘리베이터 계약방식,엘리베이터 설치년도 운행,엘리베이터 종류,엘리베이터 운행층,엘리베이터 관리형태,엘리베이터 년 예산지출,엘리베이터 수리비,엘리베이터 월수리건수,수선유지충당금,수선유지대체금,전체동수,급수시설,주소(나머지),아파트고유번호,우편번호,좌표X,좌표Y,주소(도로명),주소(도로 상세주소),법정동주소,단지분류,도로명주소,전용면적별 세대현황1,전용면적별 세대현황2,85_135이하,135초과,주거전용면적
A10025203,디에이치 아너힐즈,서울,강남구,개포동,0,142116,,,,,현대건설,,11130.74,,,2103,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,생활지원센터,,6327,,,삼성로,11,서울특별시 강남구 개포동 138 디에이치 아너힐즈,,서울특별시 강남구 삼성로 11,,,,,142115.8804
A10025245,래미안퍼스트하이,서울,성북구,장위동,234586,102867,,,,,서울,,11349.44,,,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,래미안장위퍼스트하이,,2760,,,한천로,713,서울특별시 성북구 장위동 173-114 래미안퍼스트하이,,서울특별시 성북구 한천로 713,,,,,102867.1
A10025263,고덕 그라시움 아파트,서울,강동구,고덕동,811620,504201,4932,,,,대우 SK 현대,,36951.47,,,6905,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,120동 1층 관리지원센터,,5224,,,고덕로,333,서울특별시 강동구 고덕동 212 고덕 그라시움 아파트,아파트,서울특별시 강동구 고덕로 333,,,,,504201.223
A10025283,래미안아트리치 ,서울,성북구,석관동,167606,101672,1091,,,,삼성물산(주),,9205,,,1308,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,석관동 래미안아트리치,,2786,,,돌곶이로8길,22,서울특별시 성북구 석관동 410 래미안아트리치 ,아파트,서울특별시 성북구 돌곶이로8길 22,704,344,43,,73098.17
A10025302,항동하버라인4단지아파트,서울,구로구,항동,43054,43054,297,,,,동부건설,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,항동하버라인4단지,,8368,,,항동로,72,서울특별시 구로구 항동 238 항동하버라인4단지아파트,,서울특별시 구로구 항동로 72,297,0,0,,17419.54
A10025310,백련산 sk뷰 아이파크,서울,은평구,응암동,173574,120185,1305,,,,sk view 현대산업개발,,7252,,,1305,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,백련산 sk뷰 아이파크,,3466,,,응암로30길,16,서울특별시 은평구 응암동 767 백련산 sk뷰 아이파크,,서울특별시 은평구 응암로30길 16,758,499,48,,88337.08
A10025387,항동하버라인2단지,서울,구로구,항동,91223,59327,646,,,,계룡건설,,6240.71,,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,항동하버라인2단지 관리사무소,,8362,,,연동로,234,서울특별시 구로구 항동  항동하버라인2단지,아파트,서울특별시 구로구 연동로 234,447,199,0,,42318.42
A10025410,휘경동 sk뷰 아파트,서울,동대문구,휘경동,133637,84851,900,,,,SK건설,,6051.92,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,휘경sk뷰 아파트,,2434,,,휘경로,60,서울특별시 동대문구 휘경동 128-12 휘경동 sk뷰 아파트,,서울특별시 동대문구 휘경로 60,489,355,56,,62091.8
A10025418,래미안 신반포 리오센트,서울,서초구,잠원동,106931,64847,475,,,,삼성물산,,4184.41,,,860,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,생활지원센터,,6516,,,잠원로14길,32,서울특별시 서초구 잠원동 161 래미안 신반포 리오센트,아파트,서울특별시 서초구 잠원로14길 32,99,118,258,,48942.62
A10025423,e편한세상서울대입구1단지아파트,서울,관악구,봉천동,111620,75087,711,,,,대림산업(주),,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1단지 관리사무소,,8830,,,청룡10길,45,서울특별시 관악구 봉천동 1540-37 e편한세상서울대입구1단지아파트,아파트,서울특별시 관악구 청룡10길 45,196,459,56,,57164.09
A10025428,e편한세상서울대입구 3단지,서울,관악구,봉천동,17046,10883,206,,,,대림산업,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,e편한세상서울대입구 3단지,,8830,,,참숯5길,7,서울특별시 관악구 봉천동 1540-37 e편한세상서울대입구 3단지,아파트,서울특별시 관악구 참숯5길 7,206,0,0,,7569.73
A10025461,래미안장위포레카운티아파트,서울,성북구,장위동,133960,92371,939,,,,삼성물산(주)건설부문,,6311.72,,,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,생활지원센터,,2763,,,장월로,160,서울특별시 성북구 장위동 144-24 래미안장위포레카운티아파트,아파트,서울특별시 성북구 장월로 160,356,556,27,,68537.42
A10025533,용산롯데캐슬센터포레아파트,서울,용산구,효창동,72234,44659,478,,,,롯데건설,,3842.99,,,521,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,(효창동 용산롯데캐슬센터포레),,4317,,,백범로,313,서울특별시 용산구 효창동 13-2 용산롯데캐슬센터포레아파트,,서울특별시 용산구 백범로 313,260,206,12,,32777.66
A10025600,e편한세상 염창,서울,강서구,염창동,71580,46902,499,,,,대림산업,,4346.94,,,604,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,e편한세상 염창,,7560,,,공항대로,583,서울특별시 강서구 염창동 277-24 e편한세상 염창,아파트,서울특별시 강서구 공항대로 583,206,293,0,,36155.82
A10025614,항동하버라인3단지,서울,구로구,항동,158337,158334,1170,,,,한신공영,,10567,,,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,항동하버라인3단지아파트 관리사무소,,8368,,,항동로,43,서울특별시 구로구 항동  항동하버라인3단지,아파트,서울특별시 구로구 항동로 43,836,334,0,,73991.07
A10025633,마포 웨스트리버 태영데시앙아파트,서울,마포구,창전동,43400,43400,276,,,,태영건설,,2444.06,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,마포웨스트리버태영데시앙,,4065,,,서강로3길,32,서울특별시 마포구 창전동 27-19 마포 웨스트리버 태영데시앙아파트,,,38,220,17,,22306.779
A10025638,래미안길음센터피스,서울,성북구,길음동,312313,209679,2352,,,,삼성건설,,15643.08,,,2610,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,래미안길음센터피스,,2727,,,숭인로,50,서울특별시 성북구 길음동 1287 래미안길음센터피스,,서울특별시 성북구 숭인로 50,1632,671,49,,150592.24
A10025657,송파 두산위브아파트,서울,송파구,오금동,35328,32587,269,,,,두산건설,,21387643,,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,송파두산위브아파트,,5738,,,성내천로,103,서울특별시 송파구 오금동 135 송파 두산위브아파트,아파트,서울특별시 송파구 성내천로 103,215,54,0,,17484.08
A10025659,응암역효성해링턴플레이스,서울,은평구,신사동,52695,36190,380,,,,효성중공업,,4238.21,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,(신사동 은평신사효성해링턴플레이스아파트),,3437,,,가좌로,334,서울특별시 은평구 신사동 372 응암역효성해링턴플레이스,,서울특별시 은평구 가좌로 334,123,257,0,,26447.77
A10025675,래미안블레스티지,서울,강남구,개포동,362895,215907,1957,,,,삼성물산,,16155.05,,,3153,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,래미안블레스티지 생활지원센타,,6326,,,선릉로,,서울특별시 강남구 개포동 1280 래미안블레스티지,아파트,서울특별시 강남구 선릉로 8,661,780,511,,160922.329
A10025677,은뜨락행복주택,서울,은평구,진관동,30064,20287,350,,,,금호산업(주),,2235.85,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,은뜨락아파트,,3311,,,통일로,,서울특별시 은평구 진관동 122 은뜨락행복주택,아파트,서울특별시 은평구 통일로 972,350,0,0,,14037.539
A10025683,백련산파크자이아파트,서울,은평구,응암동,96903,60933,678,,,,GS건설,,5311.82,,,859,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,3468,,,백련산로,67,서울특별시 은평구 응암동 626-108 백련산파크자이아파트,아파트,서울특별시 은평구 백련산로 67,421,257,0,,46123.88
A99999990,하이퍼2차아파트,서울특별시,마포구,성산동,10,10,100,,,,test,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,test,A99999990,3901,,,월드컵로,,,,,,,,,
